user_id,new_user,age,sex,market,device,operative_system,source,total_pages_visited,home_page,listing_page,product_page,payment_page,confirmation_page
jd_4c330e6d48c42,0,17,Female,1,mobile,android,Direct,3,1,1,1,0,0
jd_4c32f441e139d,0,27,Male,2,mobile,iOS,Direct,5,1,0,0,0,0
jd_4c32a3701702f,0,24,Female,1,mobile,android,Seo,4,1,1,0,0,0
jd_4c328b1ccf6c9,0,21,Male,2,desktop,windows,Direct,5,1,1,1,1,0
jd_4c328a919ff3b,0,17,Male,2,mobile,iOS,Direct,6,1,1,0,0,0
jd_4c3271f5aad8a,1,29,Female,1,desktop,windows,Ads,3,1,1,1,0,0
jd_4c324f90b886f,0,28,Female,2,mobile,android,Direct,4,1,0,0,0,0
jd_4c3246a4b6879,1,25,Female,1,mobile,iOS,Direct,4,1,1,1,0,0
jd_4c321b9b88775,1,24,Male,4,desktop,windows,Seo,4,1,1,1,0,0
jd_4c31eb31e5ac1,1,22,Male,3,desktop,windows,Seo,2,1,1,0,0,0
jd_4c31b04f1388d,1,32,Female,1,desktop,mac,Ads,2,1,1,0,0,0
jd_4c31941aa3f5c,0,31,Male,2,desktop,windows,Direct,8,1,0,0,0,0
jd_4c3185fa2e12f,1,30,Female,1,mobile,other,Seo,6,1,1,1,0,0
jd_4c316146a3870,0,30,Female,2,desktop,mac,Direct,7,1,1,1,0,0
jd_4c315cd5e5969,0,28,Female,1,desktop,windows,Direct,3,1,1,1,0,0
jd_4c3127a15323e,0,27,Male,4,mobile,iOS,Direct,4,1,1,1,0,0
jd_4c31209c61338,1,25,Female,1,desktop,windows,Ads,3,1,0,0,0,0
jd_4c30f404fc140,1,23,Female,2,mobile,iOS,Seo,9,1,1,1,1,0
jd_4c30eac95931e,1,23,Male,1,desktop,mac,Direct,6,1,0,0,0,0
jd_4c30d9d81358e,0,19,Female,2,mobile,iOS,Direct,7,1,1,1,0,0
jd_4c30d537cc9f0,0,18,Male,1,mobile,android,Direct,9,1,1,0,0,0
jd_4c30b44940173,0,17,Male,1,mobile,iOS,Direct,3,1,1,1,0,0
jd_4c30a46582638,1,35,Female,1,desktop,windows,Seo,4,1,1,1,0,0
jd_4c303904f7fde,0,35,Female,2,desktop,windows,Direct,6,1,1,0,0,0
jd_4c302afbab9b1,1,33,Female,4,desktop,windows,Seo,3,1,0,0,0,0
jd_4c30264da597a,0,32,Female,1,mobile,iOS,Direct,14,1,1,0,0,0
jd_4c2feea697329,0,31,Female,4,mobile,android,Ads,3,1,1,1,0,0
jd_4c2fe2f23a4a6,0,28,Female,1,mobile,android,Seo,7,1,1,1,0,0
jd_4c2fd2fe295ba,1,28,Male,1,desktop,linux,Seo,2,1,1,0,0,0
jd_4c2f20ba25b4b,0,28,Female,1,desktop,windows,Direct,10,1,1,1,0,0
jd_4c2edbdc13e6a,0,25,Female,1,mobile,iOS,Direct,3,1,1,1,0,0
jd_4c2edaec6ddc5,0,24,Female,1,mobile,iOS,Direct,3,1,1,1,0,0
jd_4c2ec9c16cd93,0,24,Female,2,desktop,windows,Direct,6,1,0,0,0,0
jd_4c2ec97e5f8a2,0,23,Female,1,desktop,windows,Direct,8,1,0,0,0,0
jd_4c2ebef98481d,0,22,Female,4,mobile,other,Direct,3,1,1,1,0,0
jd_4c2eb49b8e881,1,21,Female,1,desktop,windows,Seo,11,1,1,1,0,0
jd_4c2e94ede7f04,1,21,Female,1,mobile,iOS,Seo,5,1,1,1,0,0
jd_4c2e824df1576,1,20,Female,1,mobile,android,Seo,7,1,0,0,0,0
jd_4c2e72dcb0e25,0,20,Female,1,desktop,windows,Direct,8,1,1,0,0,0
jd_4c2e42e27a418,0,20,Female,1,mobile,iOS,Direct,14,1,1,1,0,0
jd_4c2df290b12ed,1,19,Female,4,desktop,windows,Seo,1,1,0,0,0,0
jd_4c2de00da2235,0,17,Female,1,desktop,windows,Direct,7,1,1,0,0,0
jd_4c2d89690bd39,1,46,Female,2,desktop,windows,Seo,3,1,1,1,0,0
jd_4c2d85b0eb610,1,42,Female,2,mobile,android,Ads,5,1,1,1,0,0
jd_4c2d180461fbc,0,41,Female,2,mobile,other,Seo,4,1,0,0,0,0
jd_4c2d167f938fa,0,39,Female,2,desktop,windows,Direct,8,1,0,0,0,0
jd_4c2ce6b28e6c6,1,38,Female,1,mobile,iOS,Seo,5,1,1,1,0,0
jd_4c2caa71e28c5,0,35,Female,1,mobile,android,Direct,3,1,1,1,0,0
jd_4c2ca532dd2f8,0,34,Female,4,mobile,iOS,Seo,4,1,1,1,1,0
jd_4c2ca13364f68,0,33,Female,1,desktop,mac,Direct,3,1,1,1,0,0
jd_4c2c837742222,0,33,Female,2,mobile,other,Direct,3,1,1,1,0,0
jd_4c2c797c30e59,0,33,Female,1,mobile,android,Direct,7,1,1,0,0,0
jd_4c2c4d0f4e98c,1,32,Female,1,desktop,windows,Ads,3,1,1,0,0,0
jd_4c2c43901f441,0,32,Female,1,mobile,android,Direct,7,1,0,0,0,0
jd_4c2c3e455c447,0,31,Female,1,mobile,android,Seo,18,1,1,0,0,0
jd_4c2c3d3c42b70,0,30,Female,2,desktop,windows,Direct,8,1,0,0,0,0
jd_4c2c2389ec5db,0,30,Female,1,desktop,mac,Seo,6,1,1,1,1,0
jd_4c2c2295167b1,0,29,Female,2,mobile,android,Direct,9,1,1,1,0,0
jd_4c2bcceb08f7a,0,29,Female,1,desktop,mac,Direct,2,1,1,0,0,0
jd_4c2bc141613cb,0,28,Female,1,mobile,android,Direct,4,1,0,0,0,0
jd_4c2bb35b7bf95,1,28,Female,1,mobile,android,Seo,3,1,1,1,0,0
jd_4c2ba881357d6,1,28,Female,1,desktop,windows,Seo,4,1,1,1,1,0
jd_4c2b929aae9ae,0,27,Female,1,mobile,iOS,Direct,1,1,0,0,0,0
jd_4c2b7d9bbc751,1,26,Female,1,mobile,other,Seo,6,1,1,0,0,0
jd_4c2b7ce16fd4e,1,25,Female,1,desktop,windows,Ads,2,1,1,0,0,0
jd_4c2b7b9493e45,1,23,Female,4,desktop,windows,Seo,7,1,1,1,0,0
jd_4c2b44659b3a2,0,23,Female,1,mobile,android,Direct,5,1,0,0,0,0
jd_4c2b1cf878831,1,22,Female,1,mobile,android,Seo,4,1,1,0,0,0
jd_4c2ad20a7ad5c,0,22,Female,1,mobile,other,Direct,1,1,0,0,0,0
jd_4c2ab4e64b473,1,22,Female,1,mobile,iOS,Seo,5,1,1,0,0,0
